ano_compra;"nome_instituicao";"esfera";"cnpj_instituicao";"municipio_instituicao";"uf";compra;insercao;codigo_br;"descricao_catmat";"unidade_fornecimento";"generico";"anvisa";"modalidade_compra";"tipo_compra";capacidade;"unidade_medida";"unidade_fornecimento_capacidade";"cnpj_fornecedor";"fornecedor";"cnpj_fabricante";"fabricante";qtd_itens_comprados;preco_unitario;preco_total
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"423975";"PIPETA, TIPO:PASTEUR, CAPACIDADE:3 ML, MATERIAL:PLÁSTICO, TIPO USO:DESCARTÁVEL";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"05.323.167/0001-07";"CIRUBEL COMERCIO E REPRESENTACOES DE PRODUTOS MEDICOS E HOSPITALAR LTDA";"57.893.521/0001-32";"PERFITECNICA PERFIS TECNICOS DE BORRACHA LTDA";"36";"45.0";"1620.0"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"457503";"CORANTE, TIPO :PARDO DE BISMARCK, CARACTERÍSTICA ADICIONAL :CI 21000, ASPECTO FÍSICO :PÓ";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"07.944.100/0001-15";"PROC9 INDUSTRIA QUIMICA LTDA";"07.944.100/0001-15";"PROC9 INDUSTRIA QUIMICA LTDA";"4";"190.0";"760.0"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"382447";"REAGENTE PARA DIAGNÓSTICO CLÍNICO 5, TIPO:ALBUMINA BOVINA, CARACTERÍSTICAS ADICIONAIS:SOLUÇÃO A 22%";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"10.0";"ML";"FRASCO 10.00 ML";"05.048.534/0001-01";"NORTEMED DISTRIBUIDORA DE PRODUTOS MEDICOS LTDA";"50.657.402/0001-31";"EBRAM PRODUTOS LABORATORIAIS LTDA";"20";"33.38";"667.6"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"470305";"MEIO DE CULTURA - CÉLULA E TECIDO, TIPO:MEIO HAM F10, APRESENTAÇÃO:PÓ, ADITIVOS:COM L-GLUTAMINA E NAHCO3, CARACTERÍSTICAS ADICIONAIS:COM GLICOSE, FENOL VERMELHO E PIRUVATO DE SÓDIO";"GRAMA";;;"Pregão";"ADMINISTRATIVA";;;"GRAMA";"05.323.167/0001-07";"CIRUBEL COMERCIO E REPRESENTACOES DE PRODUTOS MEDICOS E HOSPITALAR LTDA";"73.636.391/0001-09";"NEWPROV PRODUTOS PARA LABORATORIO LTDA";"80";"25.0";"2000.0"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"479641";"ADAPTADOR USO MÉDICO, APLICAÇÃO:P/ AGULHA DE COLETA DE SANGUE A VÁCUO, TIPO 1:USO C/ TUBO COLETOR, MATERIAL:POLÍMERO, COMPONENTE 1:ENCAIXE ROSQUEADO, TIPO USO:USO ÚNICO";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"05.048.534/0001-01";"NORTEMED DISTRIBUIDORA DE PRODUTOS MEDICOS LTDA";"48.740.849/0001-28";"CRAL ARTIGOS PARA LABORATORIO LTDA";"50";"38.71";"1935.5"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"395610";"REAGENTE ANALÍTICO 4, TIPO:ÁLCOOL-ÁCIDO, CONCENTRAÇÃO:SOLUÇÃO A 1%, CARACTERÍSTICA ADICIONAL:PARA COLORAÇÃO DE ZIEHL-NEELSEN";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"41.733.464/0001-94";"SHL - SAUDE HOSPITALAR E LABORATORIAL LTDA";"00.562.583/0001-44";"RENYLAB - QUIMICA E FARMACEUTICA LTDA";"55";"48.49";"2666.95"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"414714";"TUBO LABORATÓRIO, TIPO:CAPILAR, MATERIAL:VIDRO, DIMENSÕES:CERCA DE 1,5 X 75 MM";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"05.048.534/0001-01";"NORTEMED DISTRIBUIDORA DE PRODUTOS MEDICOS LTDA";"48.740.849/0004-70";"CRAL ARTIGOS PARA LABORATORIO LTDA";"10";"22.31";"223.1"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"469860";"CORANTE, TIPO :CONJUNTO COLORAÇÃO PARA PAPANICOLAU, CARACTERÍSTICA ADICIONAL :HEMATOXINA HARRIS, EA-36 E LARANJA G-6";"CONJUNTO";;;"Pregão";"ADMINISTRATIVA";;;"CONJUNTO";"41.733.464/0001-94";"SHL - SAUDE HOSPITALAR E LABORATORIAL LTDA";"00.562.583/0001-44";"RENYLAB - QUIMICA E FARMACEUTICA LTDA";"50";"148.9";"7445.0"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"444925";"SWAB, MATERIAL:HASTE PLÁSTICA, TIPO PONTA:PONTA EM RAYON, APRESENTAÇÃO :EMBALAGEM INDIVIDUAL EM TUBO PLÁSTICO, ESTERILIDADE:ESTÉRIL, TIPO DE USO:DESCARTÁVEL";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"05.048.534/0001-01";"NORTEMED DISTRIBUIDORA DE PRODUTOS MEDICOS LTDA";"48.740.849/0001-28";"CRAL ARTIGOS PARA LABORATORIO LTDA";"2000";"0.53";"1060.0"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"348282";"REAGENTE, COMPONENTES 3:COM ANTICORPOS MONOCLONAIS ANTI CD3/CD4/CD8/CD45, TIPO 3:CONJUNTO DE REAGENTES, CARACTERÍSTICAS ADICIONAIS 2:COMPLETO COM REAGENTES E ACESSÓRIOS, APLICAÇÃO 4:CITOMETRIA DE FLUXO, COMPONENTES ADICIONAIS:CONTAGEM DE LINFÓCITOS RELAÇÃO A SUBPOPULAÇÃO CD45";"TESTE";;;"Pregão";"ADMINISTRATIVA";;;"TESTE";"05.048.534/0001-01";"NORTEMED DISTRIBUIDORA DE PRODUTOS MEDICOS LTDA";"50.657.402/0001-31";"EBRAM PRODUTOS LABORATORIAIS LTDA";"220";"35.36";"7779.2"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"327360";"CORANTE, TIPO:FUCSINA FENICADA (ZIEHL-NEELSEN), ASPECTO FÍSICO:LÍQUIDO";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"1000.0";"ML";"FRASCO 1000.00 ML";"05.048.534/0001-01";"NORTEMED DISTRIBUIDORA DE PRODUTOS MEDICOS LTDA";"64.822.885/0001-97";"QEEL - QUIMICA ESPECIALIZADA ERICH LTDA";"43";"44.86";"1928.98"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"327377";"CORANTE, TIPO:EOSINA AMARELADA Y, ASPECTO FÍSICO:PÓ, CARACTERÍSTICAS ADICIONAIS:CI 45380";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"1.0";"KG";"FRASCO 1.00 KG";"07.944.100/0001-15";"PROC9 INDUSTRIA QUIMICA LTDA";"07.944.100/0001-15";"PROC9 INDUSTRIA QUIMICA LTDA";"34";"42.0";"1428.0"
"2023";"FUNDO  MUNICIPAL  DE  SAUDE DE  MARABA";"MUNICIPAL";"18.478.187/0001-07";"MARABA";"PA";"01/01/2023";"15/03/2024";"327534";"CORANTE, TIPO:CONJUNTO REAGENTE PARA COLORAÇÃO DE GRAM, ASPECTO FÍSICO:LÍQUIDO, CARACTERÍSTICAS ADICIONAIS:FRASCOS SEPARADOS CONTENDO, COMPOSIÇÃO:CRISTALVIOLETA,LUGOL,ETANOL-ACETONA,FUCSINA BÁSICA";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"1.0";"L";"FRASCO 1.00 L";"41.733.464/0001-94";"SHL - SAUDE HOSPITALAR E LABORATORIAL LTDA";"00.562.583/0001-44";"RENYLAB - QUIMICA E FARMACEUTICA LTDA";"10";"67.89";"678.9"
